Firm_Name,Market_Position,Competitive_Strength,Innovation_Score,Client_Satisfaction,Brand_Recognition
Deloitte,Leader,Very High,8.9,8.7,9.2
PwC,Leader,Very High,8.4,8.5,9.0
EY,Leader,High,8.2,8.3,8.8
KPMG,Leader,High,7.9,8.1,8.5
McKinsey & Company,Leader,Very High,9.3,9.1,9.5
Boston Consulting Group,Leader,Very High,9.1,8.9,9.2
Bain & Company,Leader,Very High,8.8,9.0,8.9
Accenture,Leader,Very High,8.6,8.4,8.7
IBM Consulting,Strong,High,8.0,7.9,8.3
Capgemini,Strong,High,7.8,7.8,7.9
Oliver Wyman,Strong,High,8.1,8.4,7.6
A.T. Kearney,Strong,Medium,7.5,7.9,7.4
Roland Berger,Niche,Medium,7.3,7.7,6.8
Booz Allen Hamilton,Strong,High,7.8,8.0,7.5
L.E.K. Consulting,Niche,High,8.2,8.6,7.2
